CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
RNOT04,Trading Account,Account Status
RNOTOC,Consignment,Operations
RPAMC2,Consignment,Operations
RPAMC2,Promotional Stand,Retail Format
RPAMOC,Closed,Account Status
RSADOC,Promotion,Marketing
RSAIOC,Consignment,Operations
RSTAC1,Consignment,Operations
RSTAOC,Closed,Account Status
RSTO01,Closed,Account Status
RSTU01,Closed,Account Status
RSTUOC,Consignment,Operations
RSUT01,Closed,Account Status
RTOG09,Trading Account,Account Status
RTOG12,Trading Account,Account Status
RTOGC2,Closed,Account Status
RTOGC3,Closed,Account Status
RTOGC4,Closed,Account Status
RTOGC5,Promotion,Marketing
RTOGC6,Consignment,Operations
RTOGC7,Consignment,Operations
RTOGC7,Promotion,Marketing
RTOGC8,Promotion,Marketing
RTOGCO,Consignment,Operations
RTOGOC,Consignment,Operations
RTOGOP,Promotional Stand,Retail Format
RVAI02,Closed,Account Status
RVES01,Closed,Account Status
SABO01,Trading Account,Account Status
SABOC1,Consignment,Operations
SAS001,Closed,Account Status
SASOC1,Consignment,Operations
SASOC1,Promotional Stand,Retail Format
SASOC2,Consignment,Operations
SBETC1,Consignment,Operations
SBETOC,Closed,Account Status
SBIH01,Closed,Account Status
SBIM01,Trading Account,Account Status
SBIMC1,Consignment,Operations
SCAA01,Closed,Account Status
SCAOOC,Consignment,Operations
SCOM01,Closed,Account Status
SCOMOC,Consignment,Operations
SDEM01,Trading Account,Account Status
SDEMC1,Consignment,Operations
SDEMOC,Consignment,Operations
SEAT04,Trading Account,Account Status
SEATC1,Consignment,Operations
SEATOC,Consignment,Operations
SESEOC,Consignment,Operations
SHAS02,Closed,Account Status
SINI01,Trading Account,Account Status
SINIC1,Consignment,Operations
SINIOC,Consignment,Operations
SKAO01,Trading Account,Account Status
SKAOC1,Consignment,Operations
SKAOOC,Consignment,Operations
SLEHCO,Promotional Stand,Retail Format
SMAT02,Trading Account,Account Status
SMATC1,Consignment,Operations
SMATC1,Promotional Stand,Retail Format
SMATC2,Consignment,Operations
SMTHOC,Consignment,Operations
SNUI02,Trading Account,Account Status
SNUIC1,Consignment,Operations
SNUOC,Closed,Account Status
SPIT01,Trading Account,Account Status
SPITCO,Consignment,Operations
SROEC1,Consignment,Operations
SROOOC,Consignment,Operations
SUYO01,Closed,Account Status
SVII04,Closed,Account Status
SVII06,Closed,Account Status
SVII17,Trading Account,Account Status
SVIIC1,Consignment,Operations
SVIIC2,Consignment,Operations
SVIIC2,Promotional Stand,Retail Format
SVIIOC,Consignment,Operations
SVIIOC,Promotional Stand,Retail Format
SVIISQ,Consignment,Operations
SVIIU1,Consignment,Operations
SVIOC,Consignment,Operations
SVIT01,Closed,Account Status
SWET03,Trading Account,Account Status
SWET05,Closed,Account Status
SWETC1,Consignment,Operations
