CUSTOMER_NUMBER,DEPOSIT_REF
HSCO02,DB07-155
HSCO02,DB07-178
HSCO02,DB12-069
HTSE01,DB06-115
HTSE01,DB09-115
HTSI01,DB10-091
HTSI01,DD03-016
HTSI01,DD04-009
HTSI01,DD05-013
HTSI01,DD06-012
HUML01,DB04-029
HUML01,DB06-028
HUML01,DB07-042
HUML01,DB08-040
HUML01,DB10-045
HUML01,DD09-007
HZAE01,DD03-011
HZAE01,DD07-005
IBHK01,DB03-177
IBHK01,DB09-104
IBHK01,DB11-186
IBRN03,DD04-011
IBRN03,DD09-018
IDZN01,DB05-072
IDZN01,DB10-062
IERN03,DB05-040
IERN03,DB09-054
IFLG01,DB08-071
IFLG01,DB09-119
IGAL01,DB07-098
IHAN01,DD05-015
IHAN01,DD08-001
IHAN01,DD11-002
IHAN01,DD11-010
IHEN01,DD11-009
IIFL01,DD08-002
IIFL01,DD09-001
IIJE01,DB03-060
IIJE01,DB07-009
IIJE01,DB07-135
IIJE01,DB08-134
IIJE01,DB11-114
IISS01,DB08-130
IJON02,DB03-094
IKNG01,DB08-126
IKRE05,DD07-008
IMEE01,DB11-064
IMER03,DB05-054
IMER03,DB06-042
IMER03,DB07-068
IMER03,DB08-047
IMER03,DB09-059
IMER03,DB11-050
IMER03,DD07-003
IMGL01,DB05-166
IMGL01,DB08-207
IMUR01,DB08-061
IMUR01,DB11-029
INAC01,DD06-005
INAD01,DB03-153
INAD01,DB04-107
INAD01,DD06-011
INAD01,DD11-008
INAD02,DB04-178
INAD02,DB11-012
INAD02,DD08-002
INAD04,DB08-124
INAD04,DB11-140
INAD07,DB08-141
INAD10,DB04-117
INAD10,DD08-013
INAD17,DD10-005
INDM01,DB07-159
INDM01,DD11-002
INJK01,DB08-170
ISAL01,DB04-112
ISAL01,DD06-002
ISAV01,DD03-011
ISHN01,DB09-027
ISMT06,DB05-011
ISMT06,DB11-059
ISMT08,DB07-144
ISPL02,DB04-152
ISPL02,DB05-141
ISPL02,DB07-126
ISPL02,DB08-133
ISPL02,DB09-125
ISPL02,DB09-157
ISPL02,DB10-133
ISPL02,DB11-150
ITHV02,DB09-025
ITJB01,DB05-152
ITJB01,DB06-123
ITJB01,DB07-132
ITJB01,DB09-114
ITJB01,DD10-008
ITRC01,DD06-009
ITRM01,DD05-018
IWET02,DB11-077
JKAE01,DB06-158
JKAE01,DB09-069
JSUE02,DB10-158
JSUE03,DB10-048
JWIN01,DB04-111
JWIN01,DB07-112
JWIN01,DB08-095
JWIN01,DB09-029
JWIN01,DB09-088
KATI02,DB04-140
KATI02,DB05-193
KATI02,DB06-167
KATI02,DD04-015
KBAE01,DB09-185
KBAE01,DB10-152
KBEK01,DD10-005
KDEL01,DB04-001
KDEL01,DB06-007
KDEL01,DB08-002
KDEL01,DB09-003
KDEL01,DB10-014
KDEO03,DD06-013
KDEO04,DB05-006
KDEO04,DB05-014
KDEO04,DB09-024
KDIG01,DB05-151
KDIG01,DB10-151
KDIG01,DD11-003
KDIG02,DB03-216
KDIG02,DB05-056
KDIG02,DB06-067
KDIG02,DB10-040
KFAT01,DB06-134
KFAT01,DB06-147
KFAT01,DB08-185
KFAT02,DB04-146
KKEA01,DB04-017
KKEA01,DB08-043
KKEA01,DB10-090
KKEA02,DB11-089
KKOS01,DB05-167
KKOS01,DB08-054
KKOS01,DB08-056
KKOS01,DD06-007
KKOS01,DD06-009
KKOS01,DD07-007
KKOS01,DD09-016
KKOS01,DD10-005
KLEH01,DB04-118
KLEH01,DB04-126
KLEH01,DB05-110
KLEH01,DB06-148
KLEH01,DB09-166
KLEH01,DB10-123
KLEH01,DB11-087
KMAA02,DB05-027
KMAA02,DB07-140
KMAA02,DB08-183
KMAA02,DB09-149
KMAA02,DB11-093
KMAA04,DB05-108
KMAG01,DB10-126
KMAH01,DB10-096
KMAH01,DB10-128
KMOH01,DD03-020
KMOH01,DD05-011
KMOO01,DB09-141
KMOO01,DB10-150
